id,name,description,ingredients,ingredients_raw_str,serving_size,servings,steps,tags,search_terms
323845,"Cilantro, Red Onion and Jalapeno Omelet","Red onions are sodium-, fat-, and cholesterol-free and provide dietary fiber, vitamin C, vitamin B6, and potassium.  This a a variation on an Indian omelet.  You can omit the jalapeno if you do not like the heat and substitute a finely diced green bell pepper.  Bacon, ham, or any of your favorite ingredients coud be added to suit your taste.  I found this recipe in an AARP email and haven't had a chance to try it yet, but it sounds delicious.","['cilantro leaves', 'jalapenos', 'red onion', 'salt', 'ground black pepper', 'eggs', 'cooking spray']","[""8       cilantro leaves, finely chopped "",""2       jalapenos, seeded and finely chopped "",""1   small    red onion, finely chopped "",""1/2  teaspoon    salt"",""1/4  teaspoon    ground black pepper"",""4   large    eggs, beaten "",""  cooking spray or 4   teaspoons    butter""]",1 (151 g),2,"['In a medium bowl, combine onion, cilantro, jalapeno, salt and pepper and mix well.  Divide into two small bowls.', 'Add two eggs to each bowl; mix to combine.', 'Heat a nonstick 8-inch skillet, coated with cooking spray or 2 teaspoons butter, over medium-high heat.', 'Pour in one bowl of egg mixture and cook until eggs are set.', 'Fold over the omelet and slide onto a warm plate.', 'Repeat, preparing second omelet.', 'Serve immediately.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-1-or-2', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'eggs', 'number-of-servings']",{'breakfast'}
386032,Creamy Coconut Pie,"Classically creamy and light as a cloud, this is the kind of pie that dreams are made of.

Recipe is from ""How It All Vegan"" by Tanya Barnard & Sahra Kramer.","['silken tofu', 'oil', 'vanilla extract', 'salt', 'sugar', 'shredded coconut', 'graham cracker pie crust']","[""2   cups    silken tofu"",""1/2  cup    oil"",""2   teaspoons    vanilla extract"",""1/2  teaspoon    salt"",""1 1/2  cups    sugar (or dry sweetener of your choice)"",""2 1/4  cups    shredded coconut (unsweetened)"",""1       graham cracker pie crust""]",1 (109 g),8,"['Preheat oven to 350 degrees F.', 'In a blender or food processor, blend together the tofu, oil, vanilla, salt, and sweetener.', 'Pour into a large bowl and fold in 2 cups of the coconut.', 'Pour into a graham cracker pie crust and bake for 15 minutes.', 'Sprinkle the remaining 1/4 cup coconut on top and bake for another 10 minutes, until filling looks set and centre is firm.', 'Serve chilled.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'pies-and-tarts', 'desserts', 'easy', 'vegan', 'vegetarian', 'dietary']","{'dessert', 'pie', 'vegetarian', 'vegan'}"
231528,French Chocolate Ice Cream,"This makes a very rich and creamy chocolate ice cream.  Be sure for best flavor, to use a premium, high quality chocolate. If you do not like the bitter taste of the chocolate, be sure to add extra sugar (you can add up to 1 full cup).  The Cook Time reflects freezing.  
Note: To make Belgian chocolate ice cream, stir in 1/4 cup rum or 1 tsp rum extract and 1/2 cup chopped hazelnuts. 
To make Mandarin Chocolate ice cream, add 1 TBS grated orange rind and 1/2 tsp orange extract or 2 TBS orange liqueur.","['milk', 'unsweetened chocolate', 'sugar', 'flour', 'egg', 'whipping cream', 'vanilla']","[""1 1/4  cups    milk"",""2   ounces    unsweetened chocolate, chopped  (or 1/4 cup unsweetened cocoa powder)"",""1/2  cup    sugar (you may increase up to 1 cup)"",""1   tablespoon    flour"",""1       egg, slightly beaten "",""1 1/4  cups    whipping cream"",""1/2  teaspoon    vanilla""]",1 (820 g),1,"['Heat milk in medium saucepan.', 'Stir in chocolate, continue stirring until chocolate is melted.', 'In another bowl, combine sugar with flour; stir in a little hot milk/chocolate mixture, add beaten egg to chocolate mixture; then add egg mixture to milk/chocolate.', 'Stir over low heat until thickened, about 3 minutes.', 'Cool in refrigerator at least 1 hour,  or until well chilled.', 'Stir in whipping cream and vanilla.', ""Freeze in ice cream machine according to manufacturer's directions."", 'Note: The use of the flour will help to give the ice cream body and smoothness.']","['time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'easy', 'frozen-desserts', 'chocolate', 'dietary', 'low-sodium', 'low-in-something', 'equipment', 'small-appliance', '4-hours-or-less']","{'french', 'dessert', 'low-sodium'}"
75910,Champagne Dijon Vinaigrette,"This is a great vinaigrette. You can add dried herbs if you like. I especially like it with mixed vegetable/fruit salads. If champagne vinegar is not available, it is easily homemade with leftover champagne and a few week's setting time. Instructions are included.","['dijon mustard', 'champagne vinegar', 'olive oil', 'salt', 'fresh ground black pepper']","[""2   teaspoons    Dijon mustard"",""1/4  cup    champagne vinegar"",""3/4  cup    olive oil"",""1/2  teaspoon    salt"",""  fresh ground black pepper""]",1 (175 g),1,"['Place all ingredients in a small glass jar and shake until oil is emulsified.', 'May be kept in refrigerator up to 1 month.', 'Homemade champagne vinegar can be done by storing leftover champagne in an open jar, at room temperature for a few weeks.', 'It will turn into vinegar.']","['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', '5-ingredients-or-less', 'salads', 'easy', 'no-cook', 'beginner-cook', 'dinner-party', 'holiday-event', 'salad-dressings', 'dietary', 'brunch', 'taste-mood', 'savory', 'number-of-servings', 'technique']",{'dinner'}
194991,Chicken Yum Yum!,I don't remember where I gotr this one from. But we like it's YUM YUM!,"['sour cream', 'boneless chicken breasts', 'ham', 'cream of chicken soup', 'cream of celery soup', 'cream of mushroom soup', 'cooking sherry']","[""1/2  pint    sour cream"",""8       boneless chicken breasts"",""8   slices    ham"",""1 (10   ounce) can   cream of chicken soup"",""1 (10   ounce) can   cream of celery soup"",""1 (10   ounce) can   cream of mushroom soup"",""1/4  cup    cooking sherry""]",1 (317 g),8,"['Bone chicken, wrap in slice of ham.', 'Mix other ingredients together.', 'Place chicken in baking dish and pour other ingredients over top.', 'Bake about 2 hours at 325 degrees.', '(Yum Yum!).']","['ham', 'time-to-make', 'main-ingredient', 'preparation', 'very-low-carbs', 'pork', 'poultry', 'easy', 'chicken', 'dietary', 'low-carb', 'low-in-something', 'meat', '4-hours-or-less']","{'low-carb', 'chicken'}"
62226,Creamy Tortilla Roll Ups,These are so easy to make and are always a hit at parties.,"['cream cheese', 'garlic powder', 'flour tortillas', 'refried beans', 'cilantro leaf', 'salsa']","[""1 (8   ounce) package   cream cheese, softened "",""1/2  teaspoon    garlic powder"",""3 (10   inch)    flour tortillas"",""1   cup    refried beans"",""1/2  cup    cilantro leaf"",""  salsa""]",1 (114 g),6,"['Mix cream cheese and garlic powder until blended.', 'Spread each tortilla with a thin layer of refried beans.', 'Spread cream cheese over beans, top with cilantro leaves.', 'Roll up tightly.', 'Refrigerate 30 minute.', 'Cut into 1/2 inch slices.', 'Serve with salsa.']","['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'appetizers', 'eggs-dairy', 'refrigerator', 'cheese', 'dietary', 'equipment']",{'appetizer'}
335276,Sweet Potato Streusel Muffins,These are wonderful anytime but especially in the Fall!  Canned pumpkin (not pumpkin pie mix) can be substituted for the sweet potato if you like.,"['all-purpose flour', 'cornmeal', 'sugar', 'peanuts', 'golden raisin', 'baking powder', 'ground nutmeg', 'eggs', 'cooked sweet potato', 'milk', 'vegetable oil', 'brown sugar', 'peanuts', 'butter']","[""1 1/2  cups    all-purpose flour"",""3/4  cup    cornmeal"",""1/2  cup    sugar"",""1/4  cup   chopped peanuts"",""1/4  cup    golden raisin"",""3   teaspoons    baking powder"",""1   teaspoon    ground nutmeg"",""2       eggs"",""1   cup   mashed cooked sweet potato (1 small to medium, about 10 to 12 ounces)"",""2/3  cup    milk"",""2   tablespoons    vegetable oil"","""",""3   tablespoons   packed brown sugar"",""2   tablespoons   chopped peanuts"",""1   tablespoon    butter, softened ""]",1 (1159 g),1,"['Heat oven 400 degrees.  Spray 15 regular-size muffin cups with nonstick cooking spray.', 'In medium bowl, mix flour, cornmeal, sugar, 1/4 cup peanuts, the raisins, baking powder and nutmeg.', 'In another medium bowl, beat eggs slightly.  Add sweet potato, milk and oil; blend well.  Add to dry ingredients all at once; stir just until dry particles are moistened.  (Batter will be lumpy.)  Fill muffin cups two-thirds full.', 'In small bowl, mix all topping ingredients.  Sprinkle evenly over muffins.  Bake 15-20 minutes or until toothpick inserted in center comes out clean.  Serve warm.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'yams-sweet-potatoes', 'breads', 'breakfast', 'potatoes', 'vegetables', 'easy', 'beginner-cook', 'fall', 'summer', 'muffins', 'seasonal', 'inexpensive', 'quick-breads', 'brunch']","{'breakfast', 'bread', 'dessert'}"
347475,Spicy Catfish,My DH came across this recipe and wants me to make it for him.,"['garlic', 'salt', 'ground black pepper', 'ground red pepper', 'paprika', 'olive oil', 'catfish fillets', 'salsa']","[""1   teaspoon   minced garlic"",""1/4  teaspoon    salt"",""1/2  teaspoon    ground black pepper"",""1/4  teaspoon    ground red pepper"",""1/4  teaspoon    paprika"",""1   tablespoon    olive oil"",""24   ounces    catfish fillets"","" serve with salsa""]",1 (175 g),4,"['Combine garlic, salt, black and red peppers, paprika and oil in a small bowl. Press pepper mixture onto catfish.', 'Place fillets in a baking pan and broil until opaque in the center, 6 to 8 minutes.']","['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'very-low-carbs', 'main-dish', 'easy', 'dietary', 'low-sodium', 'low-calorie', 'low-carb', 'low-in-something', '3-steps-or-less']","{'low-calorie', 'low-sodium', 'low-carb', 'fish', 'dinner'}"
350465,Black Angus Potato Soup,This is one of my very favorite soups!  I got this recipe off CopyKat.com.  Prep time includes baking time for the potatoes.,"['baking potatoes', 'butter', 'flour', 'milk', 'salt', 'black pepper', 'white pepper', 'green onions', 'bacon', 'cheddar cheese', 'sour cream']","[""4   large    baking potatoes"",""2/3  cup    butter"",""2/3  cup    flour"",""6   cups    milk"",""3/4  teaspoon    salt"",""1/2  teaspoon    black pepper"",""1/2  teaspoon    white pepper"",""4       green onions, chopped and divided "",""12   slices    bacon, cooked and crumbled "",""1 1/4  cups    cheddar cheese, shredded and divided "",""8   ounces    sour cream""]",1 (354 g),8,"['Wash, dry and prick potatoes with a fork. Bake at 400 for 1 hour or until done.  Let cool and cut in half  lengthwise and scoop out the pulp, set aside.  Use the skins for something else, such as fried potato skins!', 'Melt butter in a heavy saucepan over low heat, add flour, stirring until smooth.  Cook 1 minute, stirring constantly.  Gradually add milk, cook over medium heat, stirring constantly until the mixture is thickened and bubbly.', 'Add potato pulp, salt, peppers, 2 Tbsp green onion, half the bacon, and 1 cup of the cheese.  Cook until thoroughly heated.  Stir in the sour cream.', 'Add extra milk if necessary for desired consistency.', 'Serve with remaining green onions, bacon and cheese.']","['time-to-make', 'course', 'preparation', 'occasion', 'soups-stews', 'chowders', 'dietary', 'comfort-food', 'low-carb', 'low-in-something', 'taste-mood', '4-hours-or-less']","{'soup', 'low-carb'}"
285496,Cheesecake Factory Cajun Jambalaya Pasta,"I love the Cheesecake factory, and this is one of my favorite recipes there.  There is another recipe here for this, but it is not like the original and different than mine.  I use Tony Chachere's Seasoning (green can) when making this dish.  The amounts in the parenthesis are what I use in this recipe.","['butter', 'cajun seasoning', 'boneless skinless chicken breast', 'fresh linguine', 'clam juice', 'green bell peppers', 'red bell peppers', 'yellow bell peppers', 'red onions', 'medium shrimp', 'tomatoes']","[""4   ounces    butter (1 stick)"",""2   teaspoons    cajun seasoning"",""1   lb    boneless skinless chicken breast, cut into small pieces "",""1   lb    fresh linguine"",""1/2  cup    clam juice"",""2   ounces    green bell peppers, cut into thin strips  (1/2 pepper)"",""2   ounces    red bell peppers, cut into thin strips  (1/2 pepper)"",""2   ounces    yellow bell peppers, cut into thin strips  (1/2 pepper)"",""4   ounces    red onions, cut into thin strips  (1 med. onion)"",""1/2  lb   fresh medium shrimp, peeled, deveined, tails removed "",""1/2  cup    tomatoes, diced ""]",1 (486 g),4,"['Place the butter into a saute pan. Allow the butter to melt slightly.', 'Add the seasoning into the pan, and stir together with the melted butter.', 'Add the chicken into the pan, and continue to cook until the chicken is about half done.', 'While the chicken is cooking, carefully place the pasta into boiling water, and cook until al dente.', 'Pour the clam juice into the pan. Add the peppers and onions. Cook for another minute, making sure the vegetables are heated through and the chicken is almost done.', 'Add the shrimp into the pan. Toss the  ingredients together, and continue to cook until the shrimp are almost done.', 'Add the tomatoes into then pan. Continue to cook mixture until both the shrimp and chicken are thoroughly cooked through.', 'Place some pasta into each bowl. Spoon equal portions of the jambalaya mixture into each bowl over the pasta.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'pasta', 'poultry', 'seafood', 'american', 'cajun', 'southern-united-states', 'easy', 'beginner-cook', 'dinner-party', 'shrimp', 'chicken', 'stove-top', 'dietary', 'spicy', 'copycat', 'meat', 'chicken-breasts', 'pasta-rice-and-grains', 'shellfish', 'novelty', 'taste-mood', 'equipment', 'presentation', 'served-hot']","{'southern', 'dinner', 'cajun', 'pasta'}"
